fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,quality_category,so2_ratio,acid_alcohol_balance,sugar_acid_ratio
8.1,0.56,0.28,1.7,0.11999999999999998,16.0,56.0,0.9968,3.11,0.9999999999999999,9.3,5.0,1.0,0.2807017543859649,16.577540106951872,0.2098506357239847
7.4,0.59,0.08,3.6500000000000004,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4.0,0.0,0.2,15.228426395939087,0.49317659775705985
7.9,0.32,0.51,1.8,0.11999999999999998,17.0,56.0,0.9969,3.04,0.9999999999999999,9.2,6.0,1.0,0.2982456140350877,28.66043613707165,0.22781926338438171
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6.0,1.0,0.47540983606557374,42.53393665158371,0.20222446916076847
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5.0,1.0,0.3194444444444444,24.808184143222505,0.30259176424154716
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0,1.0,0.2631578947368421,22.041763341067284,0.2025060118972282
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5.0,1.0,0.1323529411764706,19.144602851323828,0.27055640512880835
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6.0,1.0,0.5121951219512195,24.18952618453865,0.34777568468337916
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5.0,1.0,0.4583333333333333,23.785166240409207,0.22218695445167433
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5.0,1.0,0.3333333333333333,23.114355231143552,0.23681094592816734
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5.0,1.0,0.2631578947368421,22.041763341067284,0.2025060118972282
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5.0,1.0,0.3888888888888889,13.220815752461323,0.2675679481763132
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6.0,1.0,0.47058823529411764,15.170278637770899,0.25637738751442124
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5.0,1.0,0.20481927710843373,14.940828402366863,0.35815549917922695
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6.0,1.0,0.5789473684210527,15.451895043731776,0.36226633821185333
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5.0,1.0,0.13157894736842105,14.939024390243903,0.2770750511986507
6.9,0.605,0.12,3.6500000000000004,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6.0,1.0,0.47619047619047616,15.511551155115512,0.5289088537893059
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5.0,1.0,0.2549019607843137,28.66043613707165,0.34608729090559504
7.8,0.645,0.0,3.6500000000000004,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6.0,1.0,0.2631578947368421,14.860681114551083,0.46788873221381877
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6.0,1.0,0.1875,17.970049916805326,0.30765286501730543
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7.0,2.0,0.41935483870967744,25.459317585301836,0.2592272558943341
5.7,1.0150000000000001,0.09,1.5,0.11999999999999998,7.0,19.0,0.994,3.5,0.48,9.8,4.0,0.0,0.35,9.645669291338583,0.2631117347833713
7.3,0.45,0.36,3.6500000000000004,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5.0,1.0,0.13636363636363635,23.28159645232816,0.49993151623065335
7.3,0.45,0.36,3.6500000000000004,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5.0,1.0,0.13636363636363635,23.28159645232816,0.49993151623065335
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4.0,0.0,0.3617021276595745,15.220949263502456,0.31814566526531074
7.5,0.49,0.2,2.6,0.11999999999999998,8.0,14.0,0.9968,3.21,0.9,10.5,6.0,1.0,0.5333333333333333,21.384928716904277,0.3466204506065858
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,0.9999999999999999,10.3,5.0,1.0,0.375,15.582450832072617,0.27157141093692144
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5.0,1.0,0.4166666666666667,14.157973174366616,0.2646669607410675
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.6849999999999996,0.56,13.1,4.0,0.0,0.12121212121212122,25.143953934740882,0.45642251684416435
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5.0,1.0,0.19130434782608696,9.829059829059828,0.28567718478119725
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5.0,1.0,0.3157894736842105,32.64604810996564,0.1838869095506264
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5.0,1.0,0.38461538461538464,22.942643391521194,0.24996094360256207
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5.0,1.0,0.12371134020618557,29.581993569131832,0.2499553651133726
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5.0,1.0,0.16666666666666666,13.918305597579423,0.19315986819679581
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6.0,1.0,0.5,18.042226487523994,0.3332828359339494
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6.0,1.0,0.4,18.7624750499002,0.3181336161187699
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5.0,1.0,0.25,24.671916010498688,0.3487966515521451
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6.0,1.0,0.44594594594594594,19.960861056751465,0.36837258255492694
7.7,0.62,0.04,3.6500000000000004,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5.0,1.0,0.5434782608695652,15.297906602254429,0.47396442020516816
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5.0,1.0,0.36363636363636365,22.802850356294538,0.33330065679835313
7.5,0.63,0.12,3.6500000000000004,0.111,42.0,110.0,0.9983,3.26,0.77,9.4,5.0,1.0,0.3783783783783784,14.896988906497624,0.48660178642847624
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5.0,1.0,0.3090909090909091,16.920473773265652,0.29483399564158436
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6.0,1.0,0.19148936170212766,24.04092071611253,0.32872209286399123
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5.0,1.0,0.3584905660377358,22.942643391521194,0.2499715941370299
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5.0,1.0,0.17699115044247787,13.458755426917513,0.2337358784573432
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7.0,2.0,0.3333333333333333,18.234165067178502,0.25329956005865883
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5.0,1.0,0.23636363636363636,13.31521739130435,0.285673475217826
7.2,0.725,0.05,3.6500000000000004,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.0,1.0,0.3333333333333333,15.013774104683197,0.50687404527149
7.2,0.725,0.05,3.6500000000000004,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5.0,1.0,0.3333333333333333,15.013774104683197,0.50687404527149
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5.0,1.0,0.275,18.426103646833013,0.19997333688841487
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5.0,1.0,0.375,15.155807365439093,0.2423875170428723
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5.0,1.0,0.4090909090909091,33.33333333333333,0.21503064186646598
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6.0,1.0,0.4,14.872521246458925,0.2374703162104737
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6.0,1.0,0.5357142857142857,15.055467511885896,0.2467212050383067
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5.0,1.0,0.17525773195876287,14.157973174366616,0.2726918582002337
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5.0,1.0,0.18947368421052632,13.748191027496382,0.2467212050383067
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4.0,0.0,0.25,13.6094674556213,0.2529815684857246
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5.0,1.0,0.3333333333333333,29.906542056074766,0.2577053911967839
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5.0,1.0,0.20930232558139536,25.547445255474454,0.2499715941370299
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5.0,1.0,0.20930232558139536,25.547445255474454,0.2499715941370299
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6.0,1.0,0.45161290322580644,13.613231552162848,0.35288928098808997
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5.0,1.0,0.14814814814814814,13.448735019973368,0.29846291598268915
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,0.9999999999999999,9.1,4.0,0.0,0.225,14.536741214057507,0.18070112034694616
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5.0,1.0,0.1875,20.39911308203991,0.2580228995323335
7.8,0.43,0.7,1.9,0.11999999999999998,22.0,67.0,0.9974,3.13,0.9999999999999999,9.4,5.0,1.0,0.3235294117647059,21.809744779582367,0.24355851813870016
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5.0,1.0,0.28378378378378377,18.163672654690618,0.2702337521956492
7.3,0.67,0.26,1.8,0.11999999999999998,16.0,51.0,0.9969,3.16,0.9999999999999999,9.4,5.0,1.0,0.3076923076923077,14.008941877794337,0.24654156964799342
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6.0,1.0,0.2903225806451613,34.21926910299004,0.28566894143786703
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5.0,1.0,0.4634146341463415,18.33030852994555,0.3187943776264309
8.6,0.49,0.28,1.9,0.11,20.0,122.0,0.9972,2.93,0.9999999999999999,9.9,6.0,1.0,0.16260162601626016,20.162932790224033,0.22090454598302525
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5.0,1.0,0.28125,19.55193482688391,0.2467212050383067
9.3,0.39,0.44,2.1,0.107,34.0,122.0,0.9978,3.14,0.9999999999999999,9.5,5.0,1.0,0.2764227642276423,24.296675191815854,0.22578217395978928
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5.0,1.0,0.32,14.492753623188406,0.2571061276960434
7.9,0.52,0.26,1.9,0.079,42.0,122.0,0.9964,3.23,0.54,9.5,5.0,1.0,0.34146341463414637,18.234165067178502,0.24047588912795845
8.6,0.49,0.28,1.9,0.11,20.0,122.0,0.9972,2.93,0.9999999999999999,9.9,6.0,1.0,0.16260162601626016,20.162932790224033,0.22090454598302525
8.6,0.49,0.29,2.0,0.11,19.0,122.0,0.9972,2.93,0.9999999999999999,9.8,5.0,1.0,0.15447154471544716,19.959266802443995,0.23253110103476343
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5.0,1.0,0.28125,19.55193482688391,0.2467212050383067
5.0,1.0150000000000001,0.04,1.4,0.045,41.0,85.0,0.9938,3.6849999999999996,0.48,10.5,4.0,0.0,0.47674418604651164,10.334645669291339,0.2799440111977604
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.6849999999999996,0.6,12.9,6.0,1.0,0.1588785046728972,21.464226289517473,0.48925760476494357
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5.0,1.0,0.3333333333333333,13.788659793814432,0.44111160123511245
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5.0,1.0,0.13043478260869565,18.36327345309381,0.285673475217826
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5.0,1.0,0.45454545454545453,10.876803551609324,0.3289040915668991
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6.0,1.0,0.3611111111111111,16.483516483516482,0.23453894580915938
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6.0,1.0,0.21568627450980393,16.69394435351882,0.2529815684857246
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6.0,1.0,0.34782608695652173,20.758483033932137,0.24355851813870016
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6.0,1.0,0.3611111111111111,16.483516483516482,0.23453894580915938
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5.0,1.0,0.18181818181818182,15.972222222222221,0.2592272558943341
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5.0,1.0,0.13513513513513514,19.144602851323828,0.3055131231773365
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5.0,1.0,0.18181818181818182,15.972222222222221,0.2592272558943341
7.8,0.41,0.68,1.7,0.11999999999999998,18.0,69.0,0.9973,3.08,0.9999999999999999,9.3,5.0,1.0,0.2571428571428571,22.627737226277375,0.21792077938725804
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5.0,1.0,0.23076923076923078,14.73851030110935,0.2741493307531043
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6.0,1.0,0.2222222222222222,29.00302114803625,0.31246094238220223
8.1,0.785,0.52,2.0,0.11999999999999998,37.0,122.0,0.9969,3.21,0.69,9.3,5.0,1.0,0.3008130081300813,11.832061068702291,0.24688310085174672
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5.0,1.0,0.25,16.93404634581105,0.23073964876297912
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5.0,1.0,0.10091743119266056,15.780998389694043,0.2618735864778003
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5.0,1.0,0.125,16.30615640599002,0.2618735864778003
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6.0,1.0,0.46808510638297873,31.189710610932472,0.22770022770022771
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5.0,1.0,0.25,16.93404634581105,0.23073964876297912
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6.0,1.0,0.20634920634920634,26.18453865336658,0.2340176576959898
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6.0,1.0,0.2682926829268293,18.484288354898336,0.22888808577279846
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6.0,1.0,0.2413793103448276,16.75579322638146,0.25637738751442124
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6.0,1.0,0.24561403508771928,19.782214156079853,0.2499715941370299
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6.0,1.0,0.24444444444444444,13.314037626628075,0.2571061276960434
7.3,1.0150000000000001,0.09,1.7,0.11999999999999998,10.0,89.0,0.9962,3.3,0.57,9.0,5.0,1.0,0.1111111111111111,8.858267716535433,0.23284481577866045
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6.0,1.0,0.24561403508771928,19.782214156079853,0.2499715941370299
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5.0,1.0,0.21428571428571427,13.218390804597702,0.3424188467333242
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5.0,1.0,0.3142857142857143,13.361462728551336,0.32495938007749037
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5.0,1.0,0.20388349514563106,18.962075848303392,0.205101910011537
9.0,0.62,0.04,1.9,0.11999999999999998,27.0,90.0,0.9984,3.16,0.7,9.4,5.0,1.0,0.2967032967032967,15.136876006441225,0.21108765692700812
8.2,1.0150000000000001,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5.0,1.0,0.23076923076923078,10.728346456692913,0.20729179368369713
8.1,1.0150000000000001,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5.0,1.0,0.23076923076923078,10.728346456692913,0.22219479076657206
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7.0,2.0,0.17647058823529413,17.766497461928935,0.22497187851518563
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5.0,1.0,0.3,24.671916010498688,0.2950336010490084
8.0,0.745,0.56,2.0,0.118,30.0,122.0,0.9968,3.24,0.66,9.4,5.0,1.0,0.24390243902439024,12.600536193029491,0.2499687539057618
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5.0,1.0,0.17,25.948103792415168,0.4106409569719693
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5.0,1.0,0.17,25.948103792415168,0.4106409569719693
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6.0,1.0,0.6296296296296297,19.560878243512974,0.2272382972276928
7.9,1.0150000000000001,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6.0,1.0,0.43333333333333335,9.744094488188976,0.2784457663586888
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5.0,1.0,0.25,12.868632707774799,0.22616355195810023
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5.0,1.0,0.18867924528301888,13.268156424581006,0.21684134441633537
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5.0,1.0,0.2826086956521739,22.115384615384613,0.2777392028884877
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5.0,1.0,0.14150943396226415,16.93404634581105,0.2691962568901423
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5.0,1.0,0.1559633027522936,16.93404634581105,0.25637738751442124
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5.0,1.0,0.25,12.868632707774799,0.22616355195810023
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5.0,1.0,0.18867924528301888,13.268156424581006,0.21684134441633537
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9922475000000001,3.68,0.79,13.5,6.0,1.0,0.421875,39.589442815249264,0.34608729090559504
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5.0,1.0,0.14285714285714285,24.04092071611253,0.2697984446913188
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9922475000000001,3.68,0.79,13.5,6.0,1.0,0.421875,39.589442815249264,0.34608729090559504
8.1,0.67,0.55,1.8,0.117,32.0,122.0,0.9968,3.17,0.62,9.4,5.0,1.0,0.2601626016260163,14.008941877794337,0.22219479076657206
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5.0,1.0,0.22105263157894736,14.684287812041115,0.3102913290811929
7.6,0.49,0.26,1.6,0.11999999999999998,10.0,88.0,0.9968,3.11,0.8,9.3,5.0,1.0,0.11235955056179775,18.94093686354379,0.21049861860281543
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6.0,1.0,0.3870967741935484,20.773930753564155,0.33328503115490504
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6.0,1.0,0.25,26.18453865336658,0.34142177783197175
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6.0,1.0,0.4166666666666667,31.117824773413897,0.28763183125599234
9.2,0.52,0.9149999999999999,3.4,0.11999999999999998,32.0,69.0,0.9996,2.925,0.9999999999999999,9.4,4.0,0.0,0.45714285714285713,18.042226487523994,0.3695250516248234
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5.0,1.0,0.25,16.80532445923461,0.23996800426609785
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5.0,1.0,0.25,16.80532445923461,0.23996800426609785
7.1,0.43,0.42,3.6500000000000004,0.07,29.0,122.0,0.9973,3.42,0.72,10.5,5.0,1.0,0.23577235772357724,24.361948955916475,0.5140121109702859
7.1,0.43,0.42,3.6500000000000004,0.071,28.0,122.0,0.9973,3.42,0.71,10.5,5.0,1.0,0.22764227642276422,24.361948955916475,0.5140121109702859
7.1,0.43,0.42,3.6500000000000004,0.07,29.0,122.0,0.9973,3.42,0.72,10.5,5.0,1.0,0.23577235772357724,24.361948955916475,0.5140121109702859
7.1,0.43,0.42,3.6500000000000004,0.071,28.0,122.0,0.9973,3.42,0.71,10.5,5.0,1.0,0.22764227642276422,24.361948955916475,0.5140121109702859
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5.0,1.0,0.5217391304347826,13.656387665198238,0.30981551894099424
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6.0,1.0,0.20689655172413793,15.474209650582365,0.27937068078223787
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5.0,1.0,0.3333333333333333,10.094637223974763,0.26312327325351925
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,0.9999999999999999,9.2,4.0,0.0,0.42857142857142855,13.509544787077825,0.17103012761478753
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6.0,1.0,0.53125,18.832391713747644,0.21792077938725804
7.4,0.6,0.26,3.6500000000000004,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5.0,1.0,0.29508196721311475,15.640599001663894,0.49317659775705985
7.3,0.59,0.26,3.6500000000000004,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5.0,1.0,0.28688524590163933,15.905245346869714,0.49993151623065335
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5.0,1.0,0.14432989690721648,15.055467511885896,0.21792077938725804
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5.0,1.0,0.17647058823529413,15.912636505460217,0.30877812086457873
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4.0,0.0,0.3953488372093023,16.33393829401089,0.2191480619093275
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6.0,1.0,0.24444444444444444,16.48177496038035,0.30877812086457873
7.5,0.705,0.24,1.8,0.11999999999999998,15.0,63.0,0.9964,3.0,0.9999999999999999,9.5,5.0,1.0,0.234375,13.456090651558075,0.23996800426609785
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4.0,0.0,0.4444444444444444,10.270880361173814,0.22781926338438171
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6.0,1.0,0.3157894736842105,21.85273159144893,0.2499687539057618
